"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.WSM.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Samoa","70.1","7.0","11.0","12.1","14.6","18.4","16.7","13.2","18.5","19.2","23.786831","24.702919","28.394642","22.948737","22.693396","27.936764","38.309271","39.097786","52.803233","26.341357","33.404314","36.166604","32.701413","54.397476"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.HTI.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Haiti","550.1","582.4","639.9","662.9","688.1","809.3","710.7","944.5","791.6","1217.4","1058.948781","1050.229529","1226.729906","1276.652231","1143.954904","1102.514373","1422.754585","1413.550729","1262.210999","1398.918407","1294.931032","1403.209508","1290.090026","1214.423999"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.NPL.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Nepal","14.1","19.9","16.3","25.1","24.7","16.6","28.9","28.9","30.9","28.3","40.354262","37.013899","32.51373","36.272183","36.478744","40.556922","75.851857","55.513702","122.510559","93.648576","196.811432","259.411611","62.796137","120.890203"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.GRC.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Greece","1295.7","1152.7","1191.3","2063.2","1190.3","1554.1","2111.0","1931.8","2475.6","1106.8","1130.969963","804.136728","739.038829","773.18686","729.533949","720.430154","954.255845","1084.34386","1442.256356","1402.902106","1556.47504","2381.690061","1785.440396","2613.888774"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.KGZ.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Kyrgyz Republic","27.6","31.1","39.0","29.7","31.0","71.0","48.7","44.3","51.9","78.4","101.878738","145.49381","106.251152","71.677683","31.649084","19.875395","26.066859","17.061962","20.824861","32.48057","34.071497","61.403149","141.197216","133.144912"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.KOS.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Kosovo, Republic of","","","","","","","","","5.0","11.2","15.572116","20.832234","14.544129","16.343893","19.743318","18.345452","10.070786","18.883013","16.095459","33.267258","31.348938","25.304974","50.130163","49.388369"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.NOR.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Norway","1839.1","1407.7","1470.5","1604.5","1934.8","2401.0","3053.7","3402.4","2753.1","3107.4","3631.708911","3501.285199","4618.335583","4424.976759","3598.493916","3925.697632","5453.066488","5446.360113","3897.337522","2774.350612","3995.795918","4690.285262","5034.621087","4592.444161"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.GTM.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Guatemala","2746.7","2976.1","3151.1","3360.2","3342.3","3326.3","3269.3","3722.1","3379.1","3440.6","4713.979911","4491.426314","4171.493471","4216.725891","4120.007161","3948.465836","4014.464244","4195.357225","3986.419578","3842.648196","4666.173656","5310.195719","4839.763875","5019.892412"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.POL.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Poland, Republic of","1023.0","1171.5","1420.2","1951.9","2074.0","2376.7","2350.4","2723.9","2143.3","3106.9","4378.519315","4621.448472","4885.379982","5152.14925","5580.604318","5969.98905","7103.032231","8002.215353","8366.120917","8600.974396","9744.786525","11872.90463","13174.329629","13688.36707"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.CAF.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Central African Republic","2.4","2.1","2.0","8.9","5.7","4.4","3.2","9.1","3.6","5.7","5.998567","4.070088","2.787401","1.356628","3.119355","1.079325","2.151135","2.786165","3.534678","1.014445","1.747935","0.880502","2.087836","1.422027"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.LBN.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Lebanon","92.5","65.9","95.9","78.1","91.2","92.7","110.1","102.1","79.5","87.8","79.331843","81.18679","91.831158","72.170813","92.908801","107.91742","128.546144","108.735713","150.187313","194.980333","190.848829","211.297509","197.989189","257.571987"
